,Code de magasin,Horaires le dimanche,Horaires le lundi,Horaires le mardi,Horaires le mercredi,Horaires le jeudi,Horaires le vendredi,Horaires le samedi,Numéro de téléphone principal,Ligne d'adresse 1,Ligne d'adresse 2,Ville,Adresse,Adresse2,Words
0,Suisse4,,,,,,,,043 497 22 88,10 Barengasse,,Zurich,10 Barengasse,,barengasse  zurich
1,Royaume-Uni9,,,,,,,,020 7629 9018,19 South Molton Street Mayfair,,London,19 South Molton Street Mayfair,,south molton street mayfair  london
2,Etats-Unis7,,,,,,,,(305) 792-1157,19555 Biscayne Blvd,,Miami,19555 Biscayne Blvd,,biscayne blvd  miami
3,France94,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 76 94 27 76,10 rue Clot Bey,,Grenoble,10 rue Clot Bey,,rue clot bey  grenoble
4,France48,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 44 59 39 06,3 rue des Rosiers,,Paris,3 rue des Rosiers,,rue des rosiers  paris
5,Allemagne5,,,,,,,,040 87972297,Bleichenbrucke 1/7,,Hambourg,Bleichenbrucke 1/7,,bleichenbrucke 1/7  hambourg
6,Japon9,,,,,,,,06-6485-7666,3-1-3 Umeda,,Kita-ku,3-1-3 Umeda,,3-1-3 umeda  kita-ku
7,France30,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 80 48 49 85,41 Rue de la Liberté,,Dijon,41 Rue de la Liberté,,rue de la liberté  dijon
8,Etats-Unis1,,,,,,,,(310) 358-9616,8640 Sunset Boulevard,West Hollywood,Los Angeles,8640 Sunset Boulevard,West Hollywood,sunset boulevard west hollywood los angeles
9,Chine8,,,,,,,,010 6417 6110,19 Sanlitun North Road,Taiguli,Beijing,19 Sanlitun North Road,Taiguli,sanlitun north road taiguli beijing
10,France12,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,04 98 03 62 01,9 Boulevard de Strasbourg,Galeries Lafayette,Toulon,9 Boulevard de Strasbourg,Galeries Lafayette,boulevard de strasbourg galeries lafayette toulon
11,0025 - Montmartre,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 40 13 00 54,11 rue de Montmartre,,Paris,11 rue de Montmartre,,rue de montmartre  paris
12,France116,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 19 26 91,Boulevard du Littoral,Printemps terrasses du port,Marseille,Boulevard du Littoral,Printemps terrasses du port,boulevard du littoral printemps terrasses du port marseille
13,Espagne9,,,,,,,,963 51 49 10,C/Marques de dos aguas 7,,Valencia,C/Marques de dos aguas 7,,c/marques de dos aguas  valencia
14,Espagne8,,,,,,,,917 70 49 95,79 Raimudo Fernandez Villaverde,,Madrid,79 Raimudo Fernandez Villaverde,,raimudo fernandez villaverde  madrid
15,Royaume-Uni6,,,,,,,,020 8332 3004,22 Hill Street Richmond,,London,22 Hill Street Richmond,,hill street richmond  london
16,France84,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 41 43 35 17,6 rue d'Alsace,,Angers,6 rue d'Alsace,,rue d'alsace  angers
17,France26,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 34 33 24 06,4 Rue Lapeyrouse,Galeries Lafayette,Toulouse,4 Rue Lapeyrouse,Galeries Lafayette,rue lapeyrouse galeries lafayette toulouse
18,Etats-Unis6,,,,,,,,(212) 396-3800,992 Madison Ave,,NY,992 Madison Ave,,madison ave  ny
19,France87,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 31 88 81 64,104 Rue Eugène Colas,,Deauville,104 Rue Eugène Colas,,rue eugène colas  deauville
20,France25,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,09 54 63 81 05,4 Rue Lapeyrouse,Galeries Lafayette,Toulouse,4 Rue Lapeyrouse,Galeries Lafayette,rue lapeyrouse galeries lafayette toulouse
21,France42,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 48 87 46 53,36 rue de la Verrerie,,Paris,36 rue de la Verrerie,,rue de la verrerie  paris
22,Japon7,,,,,,,,093-551-4533,3-1-1 Kyomachi,,Kokurakita-ku,3-1-1 Kyomachi,,3-1-1 kyomachi  kokurakita-ku
23,France4,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,01 34 88 66 00,2 Avenue de l'Europe,Printemps Vélizy 2,Vélizy,2 Avenue de l'Europe,Printemps Vélizy 2,avenue de l'europe printemps vélizy vélizy
24,Suisse5,,,,,,,,022 310 64 44,1 rue du Perron,,Genève,1 rue du Perron,,rue du perron  genève
25,France16,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 42 38 65 08,7 Rue Marius Reynaud,,Aix en Provence,7 Rue Marius Reynaud,,rue marius reynaud  aix en provence
26,France34,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 87 62 05 14,4 rue Winston Churchill,,Metz,4 rue Winston Churchill,,rue winston churchill  metz
27,France96,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 83 32 60 18,2 Avenue Foch,Printemps Nancy,Nancy,2 Avenue Foch,Printemps Nancy,avenue foch printemps nancy nancy
28,Etats-Unis4,,,,,,,,(212) 989-7300,831 Washington Street,,NY,831 Washington Street,,washington street  ny
29,Royaume-Uni12,,,,,,,,020 7225 5935,Harrods Women - 87-135 Brompton Road,4ème étage,London,Harrods Women - 87-135 Brompton Road,4ème étage,harrods women - 87-135 brompton road 4ème étage london
30,France58,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 43 22 03 34,22 rue Départ,CC Montparnasse,Paris,22 rue Départ,CC Montparnasse,rue départ cc montparnasse paris
31,France21,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,04 93 62 66 19,6 Avenue Jean Médecin,,Nice,6 Avenue Jean Médecin,,avenue jean médecin  nice
32,Danemark1,,,,,,,,33 33 93 36,"1, Ostergade",,Copenhagen,"1, Ostergade",,"1, ostergade  copenhagen"
33,Royaume-Uni5,,,,,,,,020 7433 3600,23-24 Hampstead High Street,,London,23-24 Hampstead High Street,,23-24 hampstead high street  london
34,France97,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 83 48 35 68,2 Avenue Foch,Printemps Nancy,Nancy,2 Avenue Foch,Printemps Nancy,avenue foch printemps nancy nancy
35,Russie2,,,,,,,,8 (495) 951-11-98,"48, Kutuzovsky prospekt",Vremena Goda Mall,Moscou,"48, Kutuzovsky prospekt",Vremena Goda Mall,"48, kutuzovsky prospekt vremena goda mall moscou"
36,Royaume-Uni7,,,,,,,,020 7313 9518,42 Ledbury Road Kensington,,London,42 Ledbury Road Kensington,,ledbury road kensington  london
37,Royaume-Uni3,,,,,,,,020 7586 8633,94 St John Wood's High street,,London,94 St John Wood's High street,,st john wood's high street  london
38,Russie1,,,,,,,,8 (495) 725-41-15,"3, Red Square",,Moscou,"3, Red Square",,"3, red square  moscou"
39,Etats-Unis12,,,,,,,,(914) 684-6282,175 Bloomingdale Road,,NY,175 Bloomingdale Road,,bloomingdale road  ny
40,Etats-Unis9,,,,,,,,(310) 772-7108,10250 Santa Monica Blvd,,LA,10250 Santa Monica Blvd,,santa monica blvd  la
41,France114,10:00-19:30,10:00-19:30,10:00-19:30,10:00-19:30,10:00-21:00,10:00-19:30,10:00-19:30,01 43 79 84 65,21-25 Cours de Vincennes,,Paris,21-25 Cours de Vincennes,,21-25 cours de vincennes  paris
42,France45,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 21 82 63 71,33 Boulevard du Parc,,Coquelles,33 Boulevard du Parc,,boulevard du parc  coquelles
43,Etats-Unis11,,,,,,,,(415) 856-5612,845 Market Street,,San Francisco,845 Market Street,,market street  san francisco
